iter	Passed	Remaining
0	3764	3007607
1	7116	2839440
2	10000	2656929
3	12881	2563439
4	14932	2374243
5	17377	2299560
6	19328	2189681
7	21790	2157290
8	24177	2124945
9	26845	2120785
10	28922	2074500
11	32103	2108147
12	35080	2123725
13	38248	2147361
14	41777	2186368
15	44493	2180202
16	47839	2203428
17	50811	2207466
18	53271	2189734
19	56498	2203433
20	60595	2247802
21	65348	2310966
22	69424	2345331
23	72522	2344908
24	76326	2366134
25	79755	2374269
26	83051	2377733
27	85849	2366981
28	88949	2364841
29	92651	2378054
30	97434	2417011
31	100948	2422759
32	104434	2427310
33	108513	2444752
34	112076	2449674
35	115220	2445243
36	118222	2437940
37	120679	2419947
38	124438	2428141
39	128000	2432008
40	131541	2435117
41	134015	2418657
42	137524	2421067
43	140720	2417826
44	143511	2407796
45	146164	2395831
46	149641	2397449
47	153604	2406469
48	157315	2411107
49	160260	2403904
50	163917	2407333
51	167971	2416204
52	171690	2419867
53	175305	2421806
54	178602	2419251
55	181723	2414323
56	184619	2406529
57	188203	2407711
58	192643	2419474
59	195916	2416302
60	199302	2414506
61	201729	2401231
62	204999	2398165
63	208819	2401427
64	212502	2402909
65	214907	2390029
66	218440	2389799
67	222322	2393236
68	226291	2397377
69	229489	2393248
70	233931	2401920
71	237395	2400328
72	241443	2404514
73	245698	2410503
74	251333	2429557
75	256217	2440807
76	259453	2436166
77	263735	2441242
78	267495	2441317
79	270782	2437039
80	273751	2429969
81	277135	2426625
82	279941	2418290
83	283288	2414699
84	287159	2415521
85	290279	2409998
86	293974	2409237
87	297719	2408824
88	302464	2416317
89	307180	2423309
90	311078	2423674
91	315541	2428298
92	319351	2427756
93	323380	2428795
94	327209	2428239
95	330368	2422703
96	334764	2426182
97	339938	2435073
98	344513	2439436
99	348451	2439159
100	352132	2437039
101	354826	2428124
102	358573	2426466
103	361532	2419486
104	365137	2416860
105	369362	2418281
106	372947	2415446
107	376838	2414555
108	380690	2413368
109	384756	2413474
110	388459	2411247
111	392067	2408415
112	396011	2407609
113	398979	2400878
114	402828	2399457
115	406994	2399863
116	410310	2395232
117	413581	2390360
118	417233	2387695
119	421001	2385674
120	425078	2385356
121	429106	2384704
122	433418	2385563
123	436661	2380507
124	439965	2375812
125	442334	2366138
126	444311	2354499
127	447509	2349423
128	451187	2346872
129	454785	2343896
130	456778	2332708
131	460069	2328232
132	463951	2326731
133	467121	2321661
134	470625	2318263
135	473431	2311457
136	477049	2308641
137	479946	2302351
138	482957	2296654
139	485941	2290865
140	489075	2285822
141	492338	2281399
142	495438	2276243
143	498949	2272991
144	501897	2267191
145	504723	2260885
146	506853	2251532
147	510552	2249189
148	513567	2243843
149	517042	2240517
150	520997	2239252
151	525021	2238247
152	528566	2235178
153	532077	2231961
154	535770	2229494
155	539312	2226391
156	543147	2224482
157	546516	2220653
158	550155	2217924
159	553713	2214852
160	557178	2211409
161	560266	2206482
162	563158	2200811
163	566616	2197366
164	570543	2195728
165	573402	2189983
166	576727	2186038
167	580565	2184031
168	585083	2184543
169	588671	2181546
170	591891	2177189
171	595179	2173095
172	598218	2168110
173	601237	2163072
174	604368	2158457
175	608324	2156785
176	611612	2152739
177	613940	2145341
178	617508	2142305
179	621320	2140103
180	626038	2140983
181	630611	2141307
182	634544	2139420
183	638272	2136824
184	641781	2133489
185	644861	2128735
186	647619	2122945
187	650496	2117572
188	653790	2113578
189	657455	2110779
190	661065	2107794
191	664272	2103529
192	667805	2100300
193	671080	2096261
194	674028	2091215
195	677606	2088133
196	681009	2084512
